,Unnamed: 0,user_id,song_id,listen_count,title,release,artist_name,year
148,148,10,147,1,C'mon Girl (Album Version),Stadium Arcadium,Red Hot Chili Peppers,0
149,149,10,148,1,It's Tricky,The Best Year Of My Life: 1987,RUN-DMC,1986
150,150,10,149,2,Around The World (Radio Edit),Musique Vol 1,Daft Punk,1996
151,151,10,150,1,Strip My Mind (Album Version),Stadium Arcadium,Red Hot Chili Peppers,0
152,152,10,151,1,Top Down,One Man Band Man,Swizz Beatz,2007
153,153,10,81,1,The Real Slim Shady,Curtain Call,Eminem,2000
154,154,10,152,1,I Could Have Lied (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1991
155,155,10,153,1,Opera Singer,Comfort Eagle,Cake,2001
156,156,10,154,2,The Prime Time Of Your Life,Human After All,Daft Punk,2005
157,157,10,155,1,I'm Back,The Marshall Mathers LP,Eminem,2000
158,158,10,156,1,Sinisten tähtien alla,Tatsum Tisal,J. Karjalainen & Mustat Lasit,0
159,159,10,157,3,One More Time (Short Radio Edit),Musique Vol 1,Daft Punk,2000
160,160,10,158,4,Da Funk,Homework,Daft Punk,1995
161,161,10,159,2,Crescendolls,Discovery,Daft Punk,2001
162,162,10,160,2,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,0
163,163,10,161,2,Too Long,Discovery,Daft Punk,2001
164,164,10,162,3,Superhereos,Discovery,Daft Punk,2001
165,165,10,163,1,Breaking The Girl (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1991
166,166,10,164,1,Technologic,Human After All,Daft Punk,2005
167,167,10,165,1,DVNO,Justice,Justice,0
168,168,10,166,3,Something About Us,Discovery,Daft Punk,2001
169,169,10,167,1,Amityville,The Marshall Mathers LP,Eminem / Bizarre,2000
170,170,10,168,1,Criminal,The Marshall Mathers LP,Eminem,2000
171,171,10,169,2,Electric Feel,Electric Feel,MGMT,2007
172,172,10,170,1,She'll Come Back To Me,Fashion Nugget,Cake,1996
173,173,10,171,1,Let There Be Light (album version),Justice,Justice,0
174,174,10,172,1,Marshall Mathers,The Marshall Mathers LP,Eminem,2000
175,175,10,173,3,Voyager,Discovery,Daft Punk,2001
176,176,10,174,2,Don't Worry 'Bout Me,Julie / Love On The Rocks,Julie London,1963
177,177,10,175,1,Robot Rock,Musique Vol 1,Daft Punk,2005
178,178,10,176,1,Too Shy,The Very Best Of Kajagoogoo And Limahl,Kajagoogoo,1983
179,179,10,177,1,Never Let You Go,My Worlds,Justin Bieber,2010
180,180,10,178,1,The Righteous And The Wicked (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1991
181,181,10,179,1,Give It Up (feat. Pharrell Williams) (Amended Album Version),Give It Up,Twista featuring Pharrell Williams,2007
182,182,10,180,1,No Sleep Till Brooklyn,Hip Hop - The Collection 3,The Beastie Boys,1986
183,183,10,181,2,Human After All,Musique Vol 1,Daft Punk,2005
184,184,10,182,1,Television Rules The Nation,Human After All,Daft Punk,2005
185,185,10,183,1,Human After All,Human After All (Medley),Daft Punk,2005
186,186,10,184,1,Frank Sinatra,Fashion Nugget,Cake,1996
187,187,10,185,3,Revolution 909,Homework,Daft Punk,1996
188,188,10,186,1,Italian Leather Sofa,Fashion Nugget,Cake,1996
189,189,10,187,1,D.A.N.C.E [MSTRKRFT Remix],D.A.N.C.E. [Remixes],Justice,0
190,190,10,43,1,Right Back,40oz To Freedom,Sublime,0
191,191,10,188,1,Riverside,The Underground 2010,Sidney Samson,2009
192,192,10,189,1,Gran Idolo De Asia,Versus,Illya Kuryaki And The Valderramas,1997
193,193,10,190,2,Burnin' (Edit version),Burnin',Daft Punk,1997
194,194,10,191,2,Short Circuit,Discovery,Daft Punk,2001
195,195,10,192,2,Alive,Musique Vol 1,Daft Punk,1994
196,196,11,193,1,Aunt Eggma Blowtorch,Everything Is,Neutral Milk Hotel,1995
197,197,11,194,1,Full Circle,Breakout,Miley Cyrus,2008
198,198,11,195,2,Poor Jackie,Rabbit Habits,Man Man,2008
199,199,11,196,1,Hot N Cold (Manhattan Clique Remix Radio Edit),Hot N Cold,Katy Perry,2008
200,200,11,197,1,Daisy And Prudence,Distillation,Erin McKeown,2000
201,201,11,198,1,Everythings Just Wonderful,Alright_ Still,Lily Allen,0
202,202,11,199,1,The Ballad of Michael Valentine,Sawdust,The Killers,2004
203,203,11,200,1,I Stand Corrected (Album),Vampire Weekend,Vampire Weekend,2007
204,204,11,201,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
205,205,11,202,1,Monkey Man,You Know I'm No Good,Amy Winehouse,2007
206,206,11,203,1,Bleeding Hearts,Hell Train,Soltero,0
207,207,11,204,1,Knee Deep At The National Pop League,Underachievers Please Try Harder,Camera Obscura,0
208,208,11,205,1,Dreamlover,#1's,Mariah Carey,1993
209,209,11,206,5,Wet Blanket,Old World Underground_ Where Are You Now?,Metric,2003
210,210,11,207,2,Guyamas Sonora,The Flying Club Cup,Beirut,2007
211,211,11,208,1,Suspended From Class,Underachievers Please Try Harder,Camera Obscura,0
212,212,11,209,1,Empty Skies,Resist,Kosheen,2000
213,213,11,210,1,Fast As I Can,Monday Morning Cold,Erin McKeown,2000
214,214,11,211,1,Just The Way You Are,Heartbreakers (N),Barry White,1978
215,215,11,212,2,Sleeping In (Album),Give Up,Postal Service,2003
216,216,11,213,1,Gimme Sympathy,Gimme Sympathy,Metric,2009
217,217,11,214,1,You Mustn't Kick It Around,Distillation,Erin McKeown,2000
218,218,11,215,2,Help I'm Alive,Fantasies,Metric,2009
219,219,11,216,1,Teenager,Modapop,Camera Obscura,0
220,220,11,217,1,Last Night A DJ Saved My Life,Glitter,Mariah Carey Featuring Busta Rhymes_ Fabulous And  DJ Clue,2001
221,221,11,218,1,Stadium Love,Fantasies,Metric,2009
222,222,11,219,1,Spare-Ohs,Armchair Apocrypha,Andrew Bird,2007
223,223,11,220,1,Interstate 8,Baron Von Bullshit Rides Again,Modest Mouse,1996
224,224,11,221,1,All The Things That Go To Make Heaven And Earth,Challengers,The New Pornographers,2007
225,225,11,222,1,Satellite Mind,Fantasies,Metric,2009
226,226,11,223,1,Daddy's Eyes,Sawdust,The Killers,2006
227,227,11,224,1,Señorita,Justified,Justin Timberlake,2002
228,228,11,225,1,Camaro,Because Of The Times,Kings Of Leon,2007
229,229,11,226,1,Behave,Sings The Greys,Frightened Rabbit,0
230,230,11,227,1,The Lighthouse,Our Love To Admire,Interpol,0
231,231,11,228,1,Stop Coming To My House,Happy Songs For Happy People,Mogwai,2003
232,232,11,229,1,Tron,Antidotes,Foals,2008
233,233,11,230,1,Say Hello To The Angels,Say Hello To The Angels/NYC,Interpol,0
234,234,11,231,1,Love And War (11/11/46) (Album Version),More Adventurous,Rilo Kiley,2004
235,235,11,232,1,Twilight Galaxy,Fantasies,Metric,2009
236,236,11,233,1,Money Straight (Explicit Album Version),The Real Testament [Deluxe],Plies,0
237,237,11,234,1,Elephant Gun,The Gulag Orkestar,Beirut,2006
238,238,11,235,5,Annihilation By The Hands Of God (Album Version),The All Star Sessions,Roadrunner United,0
239,239,11,236,1,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon,0
240,240,11,237,1,Why Worry,The All American Rejects,The All-American Rejects,2003
241,241,11,238,1,If It's Lovin' That You Want,If It's Lovin' That You Want,Rihanna,2005
242,242,11,239,5,Three Peaches,On Avery Island,Neutral Milk Hotel,1996
243,243,11,240,1,It's Only Divine Right,Electric Version,The New Pornographers,2003
244,244,11,241,1,Bling (Confession Of A King),Sam's Town,The Killers,2006
245,245,11,242,1,The Hazards Of Love 4 (The Drowned),The Hazards Of Love,The Decemberists,2009
246,246,11,243,1,You're A Cad,Ray Guns Are Not Just The Future,the bird and the bee,2009
247,247,11,244,2,The Penalty,The Flying Club Cup,Beirut,2007
248,248,11,245,1,I'm A Cuckoo,The Inbetweeners,Belle & Sebastian,2003
249,249,11,246,1,Baby,Ray Guns Are Not Just The Future,the bird and the bee,2009
250,250,11,247,1,Ice Dogs,Six Demon Bag,Man Man,2006
251,251,11,248,1,What's In The Middle,Ray Guns Are Not Just The Future,the bird and the bee,2009
252,252,11,249,1,Poster Of A Girl,Live It Out,Metric,2005
253,253,11,250,1,Head Rolls Off,Head Rolls Off,Frightened Rabbit,2008
254,254,11,251,1,The Greys,Be Less Rude,Frightened Rabbit,2006
255,255,11,252,5,Innocent When You Dream (78),Franks Wild Years,Tom Waits,1987
256,256,11,253,1,What Is It About Men,Frank,Amy Winehouse,2003
257,257,11,254,1,The Fake Headlines,Mass Romantic,The New Pornographers,2000
258,258,11,255,1,Red Socks Pugie,Antidotes,Foals,2008
259,259,11,256,1,Black Wave (Album),Wincing The Night Away,The Shins,2007
260,260,11,257,1,Against The Peruvian Monster,The Man in a Blue Turban with Face,Man Man,2004
261,261,11,258,1,Missing,Love In The 90's,Everything But The Girl,1994
262,262,11,259,1,Goodnight Bad Morning,Midnight Boom,The Kills,2008
263,263,11,260,1,Collect Call,Fantasies,Metric,2009
264,264,11,261,1,Postcards From Italy,The Gulag Orkestar,Beirut,2005
265,265,11,262,1,Easy Eats Or Dirty Doctor Galapagos,Rabbit Habits,Man Man,2008
266,266,11,263,1,Year 3000,S.O.S,Jonas Brothers,2006
267,267,11,264,1,Where The White Boys Dance,Sam's Town,The Killers,2006
268,268,11,265,1,The King Of Carrot Flowers Parts Two And Three,In The Aeroplane Over The Sea,Neutral Milk Hotel,1998
269,269,11,266,5,The Bachelor and the Bride,Her Majesty The Decemberists,The Decemberists,2003
270,270,11,267,1,Sons & Daughters,The Crane Wife,The Decemberists,2006
271,271,11,268,1,Caring Is Creepy,Garden State - Music From The Motion Picture,The Shins,2001
272,272,11,269,1,Rhode Island Is Famous For You,Sing You Sinners,Erin McKeown,2007
273,273,11,270,1,Natural Disaster,Noble Beast,Andrew Bird,2009
274,274,11,271,5,Pen And Notebook,Biggest Bluest Hi-Fi,Camera Obscura,0
275,275,11,272,1,The Twist,Grow Up and Blow Away,Metric,2001
276,276,11,273,5,Promise Me,Beverly Craven,Beverley Craven,1990
277,277,11,274,5,The Gymnast_ High Above the Ground,Her Majesty The Decemberists,The Decemberists,2003
278,278,11,275,1,Pushin' Me Away,A Little Bit Longer,Jonas Brothers,2008
279,279,11,276,1,Breakout,Breakout,Miley Cyrus,2008
280,280,11,277,1,Nantes,The Flying Club Cup,Beirut,2007
281,281,11,278,1,I CAN'T GET STARTED,It's The Time,Ron Carter,0
282,282,11,279,1,Gold Guns Girls,Fantasies,Metric,2009
283,283,11,280,2,Front Row,Fantasies,Metric,2009
284,284,11,281,1,Set You Free,Head Rolls Off,Frightened Rabbit,2008
285,285,11,282,1,Oh!,Mollie's Mix,Sleater-kinney,2002
286,286,11,283,1,Love Letter To Japan,Ray Guns Are Not Just The Future,the bird and the bee,2009
287,287,11,284,1,The Wizard,Fur And Gold,Bat For Lashes,2006
288,288,11,285,1,Too Little Too Late,Live It Out,Metric,2005
289,289,11,286,1,Transmission,Let The Movie Begin,Joy Division,1979
290,290,11,287,1,Balloons (Single version),Balloons,Foals,2007
291,291,11,288,1,Live from Heart,One Way Flight,Sa Trincha,2001
292,292,11,289,1,Capturing Moods,The Execution Of All Things,Rilo Kiley,2002
293,293,11,290,2,The Police And The Private,Live It Out,Metric,2005
294,294,11,291,1,The World's Greatest,The R. In R&B Greatest Hits Collection Vol. 1,R. Kelly,2001
295,295,11,292,1,Kabul Shit,The Fear,Lily Allen,2009
296,296,11,293,1,Daniel Cowman,Mary Ann meets the Gravediggers and other short stories by regina spektor,Regina Spektor,2002
297,297,11,294,1,Snake,Sings The Greys,Frightened Rabbit,0
298,298,11,295,1,My Wife_ Lost in the World,March of the Zapotec and Realpeople Holland,Beirut,0
299,299,12,296,12,You And Me Jesus,Tribute To Jake Hess,Jake Hess,2004
300,300,12,130,1,Harder Better Faster Stronger,Discovery,Daft Punk,2007
301,301,12,297,1,Uprising,Uprising,Muse,0
302,302,12,298,1,Breakfast At Tiffany's,Home,Deep Blue Something,1993
303,303,12,299,7,Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0
304,304,12,92,26,You're The One,If There Was A Way,Dwight Yoakam,1990
305,305,12,60,7,Don't Dream It's Over,Recurring Dream_ Best Of Crowded House (Domestic Only),Crowded House,1986
306,306,12,300,5,S.O.S.,SOS,Jonas Brothers,2007
307,307,12,301,1,The Invisible Man,The Invisible Man,Michael Cretu,1985
308,308,12,302,8,American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,Green Day,0
309,309,12,95,8,Hey_ Soul Sister,Save Me_ San Francisco,Train,0
310,310,12,303,4,Breakeven,Now That's What I Call Music! 72,The Script,2008
311,311,12,304,1,(You Drive Me) Crazy (The Stop Remix!),The Singles Collection,Britney Spears,1999
312,312,12,305,6,The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,0
313,313,12,306,7,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,2005
314,314,12,307,7,3AM (LP Version),Yourself Or Someone Like You,matchbox twenty,1996
315,315,12,308,6,Vanilla Twilight,Ocean Eyes,Owl City,2009
316,316,12,309,7,Picture,The Very Best Of Sheryl Crow,Sheryl Crow,0
317,317,12,310,6,If I Had You,For Your Entertainment (Deluxe Version),Adam Lambert,2009
318,318,12,311,1,Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,2008
319,319,12,312,4,The Only Exception (Album Version),The Only Exception,Paramore,0
320,320,12,313,2,Black and White,Outside Inside,The String Cheese Incident,2001
321,321,12,102,7,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009
322,322,12,314,8,The Trouble With Love Is,Beautiful,Kelly Clarkson,2003
323,323,12,315,1,Orange Trägt Nur Die Müllabfuhr (Go West),10 Jahre Gute Unterhaltung!,Mickie Krause,0
324,324,12,316,9,Rianna,The Update Collection Vol. 2,Fisher,0
325,325,12,317,7,I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,2008
326,326,12,103,7,Secrets,Waking Up,OneRepublic,2009
327,327,12,318,6,Here Without You,Here Without You,3 Doors Down,2002
328,328,12,319,6,If I Ever Leave This World Alive,Music From The Motion Picture P.S. Ich liebe Dich,Flogging Molly,1997
329,329,12,320,2,Waterfall,À La Carte,Triumvirat,1978
330,330,12,321,14,Almaz,Every Kind Of Mood,Randy Crawford,1986
331,331,12,322,8,Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy,0
332,332,12,323,6,Ironic (Acoustic Album Version),Jagged Little Pill Acoustic,Alanis Morissette,2007
333,333,12,324,1,Ghosts and Roses,Hello Mademoiselle,Stephane Pompougnac,2007
334,334,12,325,6,Anyone Else But You,Juno - Music From The Motion Picture,Michael Cera & Ellen Page,2007
335,335,12,326,2,Speed Of Life,Twice The Speed Of Life,Sugarland,2004
336,336,12,327,23,Blood Red,Live  Decade Of Aggression,Slayer,1990
337,337,12,106,8,Marry Me,Save Me_ San Francisco,Train,2009
338,338,12,328,7,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008
339,339,12,329,1,Make Love To Your Mind,Playlist: The Very Best Of Bill Withers,Bill Withers,1975
340,340,12,73,6,Heartbreak Warfare,Battle Studies,John Mayer,0
341,341,12,330,3,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0
342,342,12,331,4,Strange Days,The Very Best Of [w/bonus tracks],The Doors,1967
343,343,12,332,6,Drops Of Jupiter,Drops Of Jupiter,Train,2001
344,344,12,333,1,What's Your Name,This Is How I Feel,Future Loop Foundation,0
